GRIDCODE	CVENTMUN	LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m)	LONG_CARR_x_CELDA x CARRILES
624897	2001	3439265.728	5398.505006
624898	2001	3439265.728	746.4990648
624935	2001	3439265.728	6069.217591
625024	26004	187891.4886	7002.618205
625025	26004	187891.4886	1821.883058
625032	26046	104246.5354	310.397264
625033	26046	104246.5354	6888.036417
625034	26046	104246.5354	513.2533381
625034	26046	104246.5354	4604.093582
625034	26046	104246.5354	252.4297092
625050	26036	184650.2298	3146.947724
625051	26036	184650.2298	3397.481557
625052	26036	184650.2298	3259.003347
625053	26036	184650.2298	3127.83855
625053	26036	184650.2298	822.2766941
625053	26036	184650.2298	178.4980228
625054	26036	184650.2298	8170.755026
625054	26036	184650.2298	13354.39299
625055	26036	184650.2298	444.9201325
625075	26006	149696.261	3379.238618
625084	26011	122342.077	247.8132053
625085	26011	122342.077	6063.594748
625097	26027	181416.865	4398.556558
625098	26027	181416.865	581.221362
625098	26027	181416.865	612.1522797
625098	26027	181416.865	670.8812492
625135	8035	407542.1865	2383.023019
625136	8035	407542.1865	6256.198999
625145	8035	407542.1865	3483.608252
625146	8035	407542.1865	3833.058366
625196	8001	883927.7251	10224.79071
625197	8001	883927.7251	1558.023159
625197	8001	883927.7251	627.1497976
625956	2001	3439265.728	6014.620242
625994	2001	3439265.728	6102.88192
626082	26004	187891.4886	6310.311296
626083	26004	187891.4886	1887.136685
626090	26046	104246.5354	5677.150389
626091	26046	104246.5354	6588.617797
626108	26036	184650.2298	1127.982459
626108	26058	197249.5214	2860.763562
626109	26036	184650.2298	163.7604657
626109	26058	197249.5214	172.1013711
626113	26036	184650.2298	7677.778909
626114	26036	184650.2298	3485.633848
626114	26036	184650.2298	2090.488219
626114	26036	184650.2298	5466.467182
626115	26036	184650.2298	10137.35998
626134	26006	149696.261	3325.171696
626143	26011	122342.077	6700.713813
626157	26027	181416.865	6126.81492
626195	8035	407542.1865	7548.298114
626203	8035	407542.1865	335.6746379
626204	8035	407542.1865	5068.959531
626204	8035	407542.1865	1916.483602
626256	8001	883927.7251	11721.21456
626256	8001	883927.7251	445.9257305
626256	8001	883927.7251	108.4542543
627015	2001	3439265.728	7690.751743
627053	2001	3439265.728	6100.906938
627106	26017	493727.1617	4622.926217
627107	26017	493727.1617	4977.07457
627140	26047	263562.6892	4420.134019
627140	26004	187891.4886	1327.946781
627141	26004	187891.4886	2096.934136
627147	26046	104246.5354	5139.474966
627148	26046	104246.5354	6882.370656
627149	26046	104246.5354	1178.509924
627166	26036	184650.2298	3146.227748
627167	26036	184650.2298	290.4629524
627174	26036	184650.2298	7183.253077
627174	26035	319128.3827	6197.509114
627175	26035	319128.3827	3740.693915
627192	26006	149696.261	1765.288315
627193	26006	149696.261	1344.192049
627202	26011	122342.077	6642.307781
627216	26027	181416.865	6204.882412
627246	8035	407542.1865	901.9288586
627254	8035	407542.1865	6003.467791
627262	8035	407542.1865	7306.822435
627315	8001	883927.7251	12561.67941
628072	2001	3439265.728	822.5039927
628073	2001	3439265.728	7867.115232
628074	2001	3439265.728	620.921037
628112	2001	3439265.728	6096.028372
628166	26017	493727.1617	6311.409673
628198	26047	263562.6892	3549.584014
628199	26047	263562.6892	4046.02336
628204	26046	104246.5354	537.2493002
628204	26004	187891.4886	2352.981271
628205	26046	104246.5354	7163.020852
628206	26046	104246.5354	1396.426083
628225	26036	184650.2298	3386.388627
628234	26035	319128.3827	12296.42961
628237	26035	319128.3827	917.5452308
628237	26035	319128.3827	3156.927746
628251	26019	262504.8067	618.4798012
