GRIDCODE,CVENTMUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
625052,26036,367868.46,4694.33
625053,26036,367868.46,66084.81
625054,26036,367868.46,65258.07
625097,26027,148277.13,38728.87
625098,26027,148277.13,55353.98
626156,26027,148277.13,15217.15
626157,26027,148277.13,9269.03
628195,26047,165316.96,16235.43
628196,26047,165316.96,29321.98
629251,26017,967201.04,26455.16
629252,26017,967201.04,12382.85
629254,26047,165316.96,30469.63
629255,26047,165316.96,19471.16
629261,26004,163543.39,16004.35
629262,26004,163543.39,62650.35
629378,8035,120003.61,93148.32
629379,8035,120003.61,5617.65
630309,26017,967201.04,48794.73
630310,26017,967201.04,261865.45
630311,26017,967201.04,158762.87
630312,26017,967201.04,2802.73
630320,26004,163543.39,38610.76
630321,26004,163543.39,46277.92
630324,26046,14416.32,14416.32
630352,26035,138919.15,84679.49
630353,26035,138919.15,51082.6
630437,8035,120003.61,20215.36
630438,8035,120003.61,1022.28
631248,2001,4310458.26,22214.55
631249,2001,4310458.26,25732.24
631368,26017,967201.04,22249.28
631369,26017,967201.04,167176.47
631370,26017,967201.04,140601
631412,26035,138919.15,3157.05
631453,26027,148277.13,342.27
632307,2001,4310458.26,2286.11
632308,2001,4310458.26,1271.38
632428,26017,967201.04,4761.93
632428,26047,165316.96,830.43
632429,26017,967201.04,5453.94
632429,26047,165316.96,1956.5
632511,26027,148277.13,5459.37
632512,26027,148277.13,23906.46
633366,2001,4310458.26,88339.22
633367,2001,4310458.26,75828.54
634425,2001,4310458.26,86897.86
634426,2001,4310458.26,3824.2
634528,26017,967201.04,725.34
634565,26007,21389.74,21389.74
635484,2001,4310458.26,62028.06
635587,26017,967201.04,45198.39
635588,26017,967201.04,69970.91
635628,26065,17405.78,17405.78
636543,2001,4310458.26,6486.42
636724,26019,494800.15,164968.88
636725,26019,494800.15,176728.1
636726,26019,494800.15,2769.21
636798,8005,431120.19,106898.22
637783,26019,494800.15,22390.82
637784,26019,494800.15,101286.73
637785,26019,494800.15,26656.41
637856,8005,431120.19,11387.14
637857,8005,431120.19,131859.53
639719,2001,4310458.26,18303.85
639720,2001,4310458.26,14833.27
640042,8053,171387.71,5395.83
640043,8053,171387.71,973.42
640778,2001,4310458.26,74362.05
641101,8053,171387.71,45614.22
641102,8053,171387.71,46032.42
641837,2001,4310458.26,119758.24
641838,2001,4310458.26,5447.18
642895,2001,4310458.26,6541.96
642896,2001,4310458.26,69005.78
643954,2001,4310458.26,114.38
643955,2001,4310458.26,63432.92
644103,26060,19854.3,19854.3
645175,26043,1487537.78,29852.04
645333,8053,171387.71,8653.64
645334,8053,171387.71,5068.38
646071,2001,4310458.26,66215.79
646072,2001,4310458.26,18562.27
646389,8028,118211.33,74568.54
646390,8028,118211.33,22179.06
646392,8053,171387.71,21600.86
646393,8053,171387.71,38048.94
647130,2001,4310458.26,46074.92
647131,2001,4310458.26,10022.48
647305,26059,42486.93,42167.88
647306,26059,42486.93,319.04
647338,26002,1174741.93,8821.61
647339,26002,1174741.93,83036.49
647448,8028,118211.33,9168.34
647449,8028,118211.33,12295.4
648229,2002,7435109.72,27842.81
648230,2002,7435109.72,1558.99
648352,26043,1487537.78,4419.44
648353,26043,1487537.78,18143.85
648397,26002,1174741.93,145250.51
648398,26002,1174741.93,442180
648399,26002,1174741.93,158242.91
649287,2002,7435109.72,14871.15
649288,2002,7435109.72,85090.66
649411,26043,1487537.78,22523.88
649412,26043,1487537.78,253371.3
649413,26043,1487537.78,101565.78
649444,26039,131383.39,112826.36
649445,26039,131383.39,2370.48
649456,26002,1174741.93,86141.35
649457,26002,1174741.93,155085.38
649458,26002,1174741.93,95983.67
650346,2002,7435109.72,23666.17
650347,2002,7435109.72,120315.91
650470,26043,1487537.78,44638.22
650471,26043,1487537.78,229169.76
650472,26043,1487537.78,297772.44
650473,26043,1487537.78,9853.89
650503,26039,131383.39,16099.4
650504,26039,131383.39,87.16
651530,26043,1487537.78,232770.03
651531,26043,1487537.78,243457.15
652735,8037,5813965.79,53672.49
652736,8037,5813965.79,19079.14
652738,8037,5813965.79,46461.6
653793,8037,5813965.79,8676.7
653794,8037,5813965.79,64934.94
653795,8037,5813965.79,101802.13
653796,8037,5813965.79,6674.24
653797,8037,5813965.79,43727.76
654847,8037,5813965.79,373.91
654848,8037,5813965.79,9702.88
654849,8037,5813965.79,20121.76
654850,8037,5813965.79,68661.79
654851,8037,5813965.79,18412.51
654852,8037,5813965.79,108196.13
654853,8037,5813965.79,124711.38
654854,8037,5813965.79,166454.19
654855,8037,5813965.79,62100.41
654856,8037,5813965.79,7734.26
655598,2001,4310458.26,34363.81
655599,2001,4310458.26,21850.91
655905,8037,5813965.79,5626.83
655906,8037,5813965.79,55190.74
655907,8037,5813965.79,79919.55
655908,8037,5813965.79,28549.01
655909,8037,5813965.79,91163.18
655910,8037,5813965.79,92050.29
655911,8037,5813965.79,146119.33
655912,8037,5813965.79,147327.38
655913,8037,5813965.79,177199.65
655914,8037,5813965.79,154182.36
655915,8037,5813965.79,7332.71
656743,26048,1194675.03,109226.16
656744,26048,1194675.03,32365.11
656964,8037,5813965.79,3703.76
656965,8037,5813965.79,57060.26
656966,8037,5813965.79,5830.72
656967,8037,5813965.79,1047.45
656968,8037,5813965.79,32274.21
656969,8037,5813965.79,64063.07
656970,8037,5813965.79,145083.55
656971,8037,5813965.79,178108.99
656972,8037,5813965.79,161763.57
656973,8037,5813965.79,53257.97
657800,26048,1194675.03,1110.95
657801,26048,1194675.03,26842.7
657802,26048,1194675.03,274172.13
657803,26048,1194675.03,373649.54
657804,26048,1194675.03,110124.65
658026,8037,5813965.79,5669.7
658027,8037,5813965.79,150694.28
658028,8037,5813965.79,173948.44
658029,8037,5813965.79,173131.37
658030,8037,5813965.79,144206.17
658031,8037,5813965.79,81544.47
658032,8037,5813965.79,5940.36
658861,26048,1194675.03,151802.35
658862,26048,1194675.03,83735.9
658863,26048,1194675.03,747.59
659085,8037,5813965.79,19726.94
659086,8037,5813965.79,161687.96
659087,8037,5813965.79,150673.2
659088,8037,5813965.79,130176.28
659089,8037,5813965.79,116036.32
659090,8037,5813965.79,78306.22
659920,26048,1194675.03,17044.01
659921,26048,1194675.03,4979.25
659922,26048,1194675.03,8874.72
660143,8037,5813965.79,40518.07
660144,8037,5813965.79,170779.1
660145,8037,5813965.79,215795.17
660146,8037,5813965.79,176347.84
660147,8037,5813965.79,127513.48
660148,8037,5813965.79,83480.98
660149,8037,5813965.79,1678.25
661202,8037,5813965.79,79953.45
661203,8037,5813965.79,249254.34
661204,8037,5813965.79,183384.81
661205,8037,5813965.79,138672.28
661206,8037,5813965.79,91884.45
661207,8037,5813965.79,21716.06
662260,8037,5813965.79,37445.21
662261,8037,5813965.79,73366.87
662262,8037,5813965.79,88869.3
662263,8037,5813965.79,427.68
662264,8037,5813965.79,11568.48
663285,8005,431120.19,28244.76
663286,8005,431120.19,49980.25
663319,8037,5813965.79,7828.3
663320,8037,5813965.79,3387.18
664344,8005,431120.19,59874.74
664345,8005,431120.19,42875.55
665129,2001,4310458.26,2274.64
666188,2001,4310458.26,75375.16
666189,2001,4310458.26,83.13
667263,2001,4310458.26,2670.15
667264,2001,4310458.26,80877.49
673658,26055,3074833.89,609.97
674716,26055,3074833.89,1291.76
674717,26055,3074833.89,136595.09
675775,26055,3074833.89,817.4
675776,26055,3074833.89,587.98
676887,26070,334996.55,152364.38
676888,26070,334996.55,95190.14
677946,26070,334996.55,9220.93
677947,26070,334996.55,73399.24
677948,26070,334996.55,4821.86
679948,2001,4310458.26,36745.35
681006,2001,4310458.26,5196.04
681007,2001,4310458.26,46149.53
681008,2001,4310458.26,2147.4
682064,2001,4310458.26,57181.51
682065,2001,4310458.26,132518.66
683123,2001,4310458.26,72299.56
683124,2001,4310458.26,47275.06
684182,2001,4310458.26,32972.33
684183,2001,4310458.26,74175.64
685240,2001,4310458.26,54076.38
685241,2001,4310458.26,228303.62
685242,2001,4310458.26,63749.94
686299,2001,4310458.26,187.14
686300,2001,4310458.26,152841.13
686301,2001,4310458.26,2064.48
687358,2001,4310458.26,3606.39
687359,2001,4310458.26,235663.59
687360,2001,4310458.26,128098.56
688416,2001,4310458.26,87766.22
688417,2001,4310458.26,197065.22
688418,2001,4310458.26,337169.31
688419,2001,4310458.26,221495.34
688428,2001,4310458.26,32232
688429,2001,4310458.26,15083.59
