GRIDCODE,CVE_ENTCVE_MUN,Fa
624897,2001,0.000840939
624898,2001,0.002242363
625007,26017,0.000870252
625008,26017,0.003782746
625009,26017,0.007025954
625010,26017,0.002758602
625011,26017,0.005345162
625012,26017,0.001631888
625014,26017,0.003200783
625015,26017,0.002078036
625023,26004,0.006221739
625023,26047,0.004268565
625024,26004,0.029391564
625024,26047,0.000310994
625025,26004,0.029835107
625026,26004,0.008369614
625038,26064,0.000728643
625038,26065,0.000183546
625039,26064,0.007873532
625039,26065,0.106032916
625047,26058,0.065799643
625048,26058,0.000375966
625052,26036,0.000129183
625053,26036,0.05737489
625054,26036,0.059202614
625055,26036,0.004971998
625056,26036,0.027514164
625057,26036,0.010860828
625084,26011,0.006291529
625094,26027,0.008553524
625095,26027,0.019123349
625096,26027,0.000185929
625097,26027,0.032696123
625098,26027,0.00086681
625135,8035,6.48943E-05
625136,8035,0.006248891
625137,8035,0.010273669
625138,8035,0.000405316
625149,8050,0.009802341
625150,8050,0.033836916
625151,8050,0.001898578
625194,8001,0.000976291
625195,8001,0.018400938
625196,8001,0.01984764
625197,8001,0.022331845
625198,8001,0.014206106
625957,2001,0.000189764
626047,26017,1.75124E-05
626048,26017,0.002008526
626049,26017,0.000473982
626066,26017,0.002390416
626067,26017,0.007033535
626068,26017,0.003328291
626069,26017,0.000219589
626070,26017,0.000688019
626071,26017,0.000180657
626073,26017,0.00387824
626074,26017,0.00274491
626080,26047,0.00078628
626081,26004,0.007733096
626081,26047,0.002150422
626082,26004,0.026005997
626082,26047,0.000899006
626083,26004,0.029314137
626084,26004,0.02543657
626085,26004,0.001979747
626098,26065,0.113180639
626106,26036,0.010946688
626106,26058,0.015915873
626107,26036,0.011087351
626107,26058,0.001745175
626112,26036,0.00031301
626113,26036,0.117452447
626114,26036,0.091432844
626115,26036,0.047899233
626116,26036,0.003117726
626154,26027,0.015165744
626155,26027,0.035598107
626156,26027,0.029206008
626157,26027,0.016339196
626195,8035,0.005743432
626196,8035,0.006745937
626197,8035,0.010632151
626198,8035,0.009861162
626199,8035,6.30222E-05
626208,8050,0.000651511
626253,8001,7.89775E-05
626254,8001,0.0009978
626256,8001,0.003930349
626257,8001,0.007040463
627014,2001,1.54986E-05
627015,2001,0.001650432
627016,2001,0.000126622
627106,26017,0.003420394
627107,26017,0.007033535
627108,26017,0.005661277
627109,26017,1.52921E-05
627124,26017,0.002063782
627125,26017,0.006911455
627126,26017,0.007033535
627127,26017,0.007033535
627128,26017,0.005584189
627129,26017,0.004000404
627130,26017,0.002362783
627131,26017,0.002920859
627132,26017,0.006381226
627133,26017,0.00118655
627136,26047,0.003690554
627137,26047,0.001541957
627138,26047,0.005014299
627139,26047,0.019343181
627140,26004,0.006836241
627140,26047,0.016125882
627141,26004,0.021156921
627141,26047,0.003431395
627142,26004,0.029651629
627143,26004,0.020165943
627157,26065,0.08922028
627172,26036,0.030289175
627173,26035,0.003377422
627173,26036,0.056891052
627192,26006,0.035244117
627214,26027,0.000863622
627215,26027,0.035038137
627216,26027,0.03783118
627226,26002,0.00106786
627226,26015,0.001131801
627244,8035,0.00981533
627245,8035,0.002465895
627246,8035,0.002262295
627254,8035,0.002811998
627255,8035,0.005596708
627256,8035,0.000322363
627257,8035,0.011128269
627258,8035,0.00786111
628073,2001,0.001318259
628074,2001,0.003819341
628075,2001,0.00021015
628164,26017,0.001552637
628165,26017,0.006829802
628166,26017,0.007033535
628167,26017,0.007033535
628168,26017,0.002606337
628182,26017,0.0002472
628183,26017,0.006256602
628184,26017,0.007033535
628185,26017,0.007033535
628186,26017,0.007033535
628187,26017,0.007033535
628188,26017,0.007033535
628189,26017,0.00692369
628190,26017,0.007033517
628191,26017,0.007033535
628192,26017,0.00447137
628193,26017,0.000413081
628194,26047,2.29245E-05
628195,26047,0.017368606
628196,26047,0.007840029
628197,26047,0.019750921
628198,26047,0.020766931
628199,26047,0.011337544
628200,26004,0.000632601
628200,26047,0.004332463
628201,26004,0.024420837
628202,26004,0.018289953
628203,26004,0.000313666
628216,26065,0.104067086
628217,26065,0.007758253
628232,26035,0.057402928
628232,26036,1.57824E-05
628233,26035,0.003740128
628251,26006,0.037623864
628251,26019,0.038451377
628274,26027,0.000961331
628275,26027,0.037492241
628285,26002,0.024320894
628285,26015,0.017864159
628286,26002,0.030813707
628286,26015,0.11290578
628287,26002,0.021119442
628287,26015,0.042173603
628288,26002,0.007422116
628288,26015,0.01078436
628303,8035,0.010146791
628304,8035,0.015363466
628305,8035,0.007863864
628313,8035,0.003561748
628314,8035,0.006065487
628316,8035,0.005178718
628317,8035,0.016500339
628318,8035,0.00940997
628319,8035,0.004168968
628320,8035,0.0056816
628321,8035,0.005345914
629130,2001,1.89502E-07
629131,2001,0.002425593
629132,2001,0.003797521
629133,2001,0.001915941
629223,26017,0.005065027
629224,26017,0.007033535
629225,26017,0.004751544
629226,26017,0.004661342
629227,26017,0.006276793
629228,26017,0.000644472
629229,26017,0.000146843
629230,26017,3.18924E-06
629241,26017,0.0025691
629242,26017,0.007033535
629243,26017,0.007033535
629244,26017,0.007033535
629245,26017,0.007033535
629246,26017,0.006080481
629247,26017,0.004548783
629248,26017,0.000896069
629249,26017,0.006916299
629250,26017,0.007033535
629251,26017,0.006614351
629252,26017,0.002836636
629253,26017,0.000586721
629253,26047,0.006884511
629254,26047,0.012914403
629255,26047,0.008507127
629256,26047,0.02091918
629257,26047,0.019375037
629258,26047,0.000194023
629260,26004,0.009632008
629261,26004,0.025375459
629262,26004,0.014197172
629263,26004,0.008197623
629263,26046,0.016903135
629264,26004,0.000338791
629264,26046,0.055911981
629265,26046,0.001243011
629275,26065,0.049743817
629276,26065,0.085138057
629291,26035,0.009889972
629292,26035,0.084274398
629293,26035,0.021875854
629294,26035,0.009123695
629309,26019,0.022511266
629310,26019,0.325865084
629334,26027,0.031263327
629345,26002,0.062199316
629363,8035,0.013375785
629364,8035,0.015294234
629365,8035,0.000350903
629372,8035,0.00136013
629373,8035,0.002635154
629374,8035,0.000487067
629375,8035,0.015005694
629376,8035,0.010569813
629377,8035,0.003373125
629378,8035,0.007462924
629379,8035,0.016432941
629380,8035,0.009972052
629381,8035,0.001237818
629402,8005,0.013208966
629403,8005,0.016221819
629404,8005,0.002106772
629464,8028,0.004998148
630189,2001,3.27327E-05
630190,2001,0.002168399
630191,2001,0.002972783
630192,2001,0.001242304
630281,26017,5.78953E-05
630282,26017,0.005966467
630283,26017,0.006162108
630284,26017,0.000989874
630286,26017,0.004806906
630287,26017,0.006006186
630288,26017,0.004023878
630289,26017,0.003451825
630299,26017,0.000248054
630300,26017,0.006036438
630301,26017,0.007016874
630302,26017,0.006825255
630303,26017,0.006988705
630304,26017,0.007024753
630305,26017,0.003430066
630306,26017,0.003296889
630307,26017,0.000665229
630308,26017,0.005490155
630309,26017,0.005855761
630310,26017,0.001478386
630311,26017,0.003549519
630312,26017,0.003739298
630312,26047,0.009797739
630313,26017,8.33021E-07
630313,26047,0.020545665
630314,26047,0.02081627
630315,26047,0.02091918
630316,26047,0.014892427
630320,26004,7.12193E-06
630321,26004,0.000617337
630322,26004,0.006563268
630322,26046,0.017968251
630323,26004,2.48784E-05
630323,26046,0.165169457
630324,26046,0.190057639
630325,26046,0.028072664
630334,26065,2.15008E-06
630335,26065,0.019888797
630351,26035,0.052141071
630352,26035,0.075867516
630353,26035,0.086157318
630354,26035,0.057763742
630355,26035,0.046278951
630356,26035,0.001006394
630369,26019,0.012171018
630393,26027,0.044252146
630394,26027,0.005972339
630403,26002,0.001979584
630404,26002,0.077185549
630422,8035,0.013782419
630423,8035,0.014529395
630424,8035,0.001113467
630425,8035,0.001698218
630434,8035,0.00233291
630435,8035,0.001071043
630438,8035,0.008625065
630439,8035,0.011236338
630440,8035,0.005338377
630461,8005,0.00959202
630462,8005,0.018575577
630463,8005,0.001171443
630521,8028,0.006434601
630522,8028,0.017760032
630523,8028,0.003406819
631247,2001,0.000243004
631248,2001,0.002944551
631249,2001,0.003935514
631250,2001,0.004025277
631251,2001,0.003819324
631252,2001,0.000456169
631340,26017,0.000533263
631341,26017,0.002877867
631342,26017,0.006425162
631343,26017,9.40975E-05
631345,26017,0.000360282
631346,26017,0.000842962
631347,26017,0.005975981
631348,26017,0.006978233
631349,26017,0.002919537
631358,26017,0.00322152
631359,26017,0.007033535
631360,26017,0.00703352
631361,26017,0.007020526
631362,26017,0.003307991
631363,26017,0.000729226
631365,26017,0.000771615
631366,26017,0.000194599
631368,26017,0.000204985
631370,26017,0.000474974
631371,26017,0.001089929
631372,26017,8.0798E-05
631372,26047,0.016229305
631373,26047,0.016863918
631374,26047,0.005044027
631375,26004,8.39464E-05
631375,26047,0.004789376
631383,26046,0.004486089
631384,26046,0.172352693
631385,26046,0.095287504
631410,26035,0.055447804
631411,26035,0.041214179
631412,26035,0.014619494
631414,26035,0.024609634
631415,26035,0.010687962
631446,26027,0.004770458
631447,26027,0.021834131
631448,26027,0.010058531
631449,26027,0.023397617
631450,26027,0.035299416
631451,26027,0.042938639
631452,26027,0.073129875
