GRIDCODE,CVE_ENTCVE_MUN,Fb
624897,2001,0.0000805
624898,2001,0.0000815
624899,2001,0.000184
624900,2001,0.000184
624901,2001,0.000184
624902,2001,0.000184
624903,2001,0.000184
624904,2001,0.000184
624905,2001,0.000184
624906,2001,0.0002718
624907,2001,0.0002718
624908,2001,0.0002718
624909,2001,0.0002718
624910,2001,0.0002718
624911,2001,0.0002718
624912,2001,0.0002718
624913,2001,0.0002718
624914,2001,0.0002718
624915,2001,0.0002718
624916,2001,0.000184
624917,2001,0.000184
624918,2001,0.000184
624919,2001,0.0002718
624920,2001,0.0002608
624921,2001,0.0002608
624922,2001,0.000184
624923,2001,0.0002718
624924,2001,0.0002718
624925,2001,0.0002718
624926,2001,0.0002718
624927,2001,0.0002718
624928,2001,0.0002718
624929,2001,0.0002718
624930,2001,0.0002718
624931,2001,0.0002718
624932,2001,0.0002718
624933,2001,0.0002718
624934,2001,0.0002718
624935,2001,0.0002158
624988,26017,0.0000233
624989,26017,0.0019841
624990,26017,0.0035663
624991,26017,0.0035663
624992,26017,0.0035663
624993,26017,0.0035663
624994,26017,0.0035663
624995,26017,0.0035663
624996,26017,0.0035663
624997,26017,0.0035663
624998,26017,0.0009658
624999,26017,0.0013246
625000,26017,0.0013246
625001,26017,0.0013246
625002,26017,0.0013246
625003,26017,0.0013246
625004,26017,0.0013246
625005,26017,0.0013246
625006,26017,0.0013246
625007,26017,0.0011607
625008,26017,0.0006122
625009,26017,0.0000014
625010,26017,0.0008051
625011,26017,0.000318
625012,26017,0.0010172
625013,26017,0.0013246
625014,26017,0.0007218
625015,26017,0.0024151
625015,26047,0.0008132
625016,26017,0.0000432
625016,26047,0.0009458
625017,26047,0.001114
625018,26047,0.001114
625019,26047,0.001114
625020,26047,0.001114
625021,26047,0.001114
625022,26047,0.001114
625023,26047,0.0006544
625026,26004,0.0016151
625027,26004,0.0022852
625028,26004,0.0022852
625029,26004,0.0003764
625029,26046,0.0084108
625030,26004,0.0010596
625030,26046,0.0092311
625031,26046,0.0100695
625032,26046,0.0110461
625033,26046,0.0110461
625034,26046,0.0110461
625035,26046,0.0110461
625036,26046,0.0024605
625036,26064,0.0008259
625036,26065,0.0042544
625037,26064,0.0009428
625037,26065,0.0057064
625038,26064,0.0008973
625038,26065,0.0056952
625039,26064,0.000435
625039,26065,0.002241
625040,26064,0.0008793
625040,26065,0.0058297
625041,26064,0.0007203
625041,26065,0.0061383
625042,26058,0.0024033
625042,26064,0.0002842
625042,26065,0.0049905
625043,26058,0.0070846
625043,26065,0.0000104
625044,26058,0.0070943
625045,26058,0.0090825
625046,26058,0.0090825
625047,26058,0.0031919
625048,26058,0.007072
625049,26036,0.0160014
625049,26058,0.0031678
625050,26036,0.0087883
625050,26058,0.0000027
625051,26036,0.0104165
625052,26036,0.0126177
625053,26036,0.0069775
625054,26036,0.006321
625055,26036,0.0122361
625056,26036,0.01046
625057,26036,0.0117721
625058,26035,0.0002984
625058,26036,0.0096314
625059,26035,0.00376
625059,26036,0.0083882
625060,26022,0.0072355
625060,26035,0.0074386
625061,26022,0.0063941
625061,26035,0.0000532
625062,26022,0.0012691
625062,26035,0.0035009
625063,26035,0.007895
625064,26035,0.0044118
625065,26035,0.0044118
625066,26035,0.0044118
625067,26035,0.0044118
625068,26035,0.0097472
625069,26006,0.0042146
625069,26035,0.0067646
625070,26006,0.00344
625071,26006,0.00344
625072,26006,0.00344
625073,26006,0.0045853
625074,26006,0.0045002
625075,26006,0.0045002
625076,26006,0.0045002
625077,26006,0.0036408
625077,26011,0.001551
625078,26006,0.0000325
625078,26011,0.0074763
625079,26011,0.0075296
625080,26011,0.0075296
625081,26011,0.0075296
625082,26011,0.0075296
625083,26011,0.007431
625084,26011,0.0073024
625085,26011,0.0097958
625086,26011,0.0097958
625087,26011,0.0097958
625088,26011,0.0097958
625089,26011,0.0073291
625089,26027,0.000603
625090,26011,0.0016912
625090,26027,0.0175615
625091,26027,0.0047032
625092,26027,0.0047032
625093,26027,0.0059358
625094,26027,0.0053336
625095,26027,0.0045895
625096,26027,0.0059227
625097,26027,0.0031714
625098,26027,0.0056511
625099,26027,0.0059358
625100,26027,0.0059358
625101,26027,0.0059358
625102,26027,0.0059358
625103,26027,0.001106
625103,26041,0.0065428
625104,26027,0.0039804
625104,26041,0.0026489
625105,26027,0.0059323
625105,26041,0.0000047
625106,26002,0.0043983
625106,26015,0.0004811
625106,26027,0.0013644
625107,26002,0.0003924
625107,26015,0.0066689
625108,26015,0.0053671
625109,26015,0.0053671
625110,26015,0.0053671
625111,26015,0.0053671
625112,26015,0.0071148
625113,26002,0.0022902
625113,26015,0.0045122
625114,26002,0.0031435
625114,26015,0.0035425
625115,26015,0.0071148
625116,26015,0.0071148
625117,26015,0.0071148
625118,8035,0.0004425
625118,26015,0.0050958
625119,8035,0.0012031
625119,26015,0.0012261
625120,8035,0.0047818
625121,8035,0.0015593
625122,8035,0.0023137
625123,8035,0.0023137
625124,8035,0.0023137
625125,8035,0.0015593
625126,8035,0.0015593
625127,8035,0.0015593
625128,8035,0.0015593
625129,8035,0.0015593
625130,8035,0.0019005
625131,8035,0.0019005
625132,8035,0.0023137
625133,8035,0.0023137
625134,8035,0.0023137
625135,8035,0.0023048
625136,8035,0.0014504
625137,8035,0.0008944
625138,8035,0.0022577
625139,8035,0.0023137
625140,8035,0.0023137
625141,8035,0.0023137
625142,8035,0.0023137
625143,8035,0.0023137
625144,8035,0.0023137
625145,8035,0.0023137
625146,8035,0.0023137
625147,8035,0.0023137
625148,8035,0.0023137
625149,8035,0.0012254
625149,8050,0.0009938
625150,8050,0.000821
625151,8050,0.0058022
625152,8050,0.0060762
625153,8050,0.0060762
625154,8050,0.0060762
625155,8050,0.0060762
625156,8050,0.0055125
625157,8050,0.0055125
625158,8005,0.0002176
625158,8050,0.0031547
625159,8005,0.0010913
625159,8050,0.0004397
625160,8005,0.0011282
625161,8005,0.0019213
625162,8005,0.0019213
625163,8005,0.0019151
625163,8050,0.0000432
625164,8005,0.0011281
625164,8050,0.0000005
625165,8005,0.0027331
625166,8005,0.0011282
625167,8005,0.0019213
625168,8005,0.00132
625168,8010,0.0013265
625169,8010,0.0042385
625170,8005,0.0000658
625170,8010,0.0013835
625171,8005,0.0007007
625171,8010,0.0002572
625172,8005,0.001213
625172,8010,0.0001524
625173,8005,0.0006189
625173,8010,0.0010288
625174,8005,0.0012998
625174,8010,0.0011791
625175,8005,0.0000191
625175,8010,0.0022327
625176,8010,0.0022484
625177,8010,0.0020894
625178,8001,0.0000199
625178,8010,0.0020786
625179,8001,0.0015197
625179,8010,0.0179165
625180,8001,0.0038611
625181,8001,0.0031038
625182,8001,0.0008937
625183,8001,0.0000943
625184,8001,0.0035744
625185,8001,0.0038611
625186,8001,0.0038611
625187,8001,0.0013085
625188,8001,0.000681
625189,8001,0.0005662
625190,8001,0.0000029
625194,8001,0.0019345
625195,8001,0.0008109
625196,8001,0.0005711
625197,8001,0.0001593
625198,8001,0.0015062
625199,8001,0.0038611
625200,8001,0.0038611
625201,8001,0.0038611
625202,8001,0.0038611
625203,8001,0.0038611
625204,8001,0.0038611
625205,8001,0.0038611
625206,8001,0.0008182
625207,8001,0.0008182
625208,8001,0.000681
625209,8001,0.000681
625210,8001,0.0010382
625211,8001,0.0001178
625211,8028,0.0014819
625212,8028,0.0016716
625213,8028,0.0016716
625214,8028,0.0016716
625215,8028,0.0016716
625216,8001,0.000257
625216,8028,0.0012579
625217,8001,0.0006877
625217,8028,0.0005643
625218,8001,0.0006132
625218,8028,0.0006843
625219,8001,0.0001332
625219,8028,0.0014571
625220,8028,0.0016716
625221,8028,0.0016716
625222,8028,0.0016716
625223,8028,0.0016716
625224,8028,0.0016716
625225,8028,0.0016716
625226,8028,0.0016716
625227,8028,0.0016716
625228,8028,0.0016716
625229,8028,0.0016716
625230,8028,0.0016716
625231,8028,0.0016683
625232,8028,0.0007997
625233,8028,0.0002494
625956,2001,0.0004151
625957,2001,0.0001754
625958,2001,0.000184
625959,2001,0.000184
625960,2001,0.000184
625961,2001,0.000184
625962,2001,0.000184
625963,2001,0.000184
625964,2001,0.000184
625965,2001,0.000184
625966,2001,0.0002718
625967,2001,0.0002718
625968,2001,0.0002718
625969,2001,0.0002718
625970,2001,0.0002718
625971,2001,0.0002718
625972,2001,0.0002718
625973,2001,0.0002718
625974,2001,0.000184
625975,2001,0.000184
625976,2001,0.00057
625977,2001,0.000184
625978,2001,0.0001789
625979,2001,0.0002608
625980,2001,0.0002608
625981,2001,0.0002718
625982,2001,0.0002718
625983,2001,0.0002718
625984,2001,0.0002718
625985,2001,0.0002718
625986,2001,0.0002718
625987,2001,0.0002718
625988,2001,0.0002718
625989,2001,0.0002718
625990,2001,0.0002718
625991,2001,0.0002718
625992,2001,0.0002718
625993,2001,0.0002718
625994,2001,0.0002482
626047,26017,0.0014324
626048,26017,0.0025143
626049,26017,0.003326
626050,26017,0.0035663
626051,26017,0.0035663
626052,26017,0.0035663
626053,26017,0.0035663
626054,26017,0.0035663
626055,26017,0.0035663
626056,26017,0.0035663
626057,26017,0.0009658
626058,26017,0.0009658
626059,26017,0.0013246
626060,26017,0.0013246
626061,26017,0.0013246
626062,26017,0.0013246
626063,26017,0.0013246
626064,26017,0.0013246
626065,26017,0.0013246
626066,26017,0.0008744
626068,26017,0.0006978
626069,26017,0.0012832
626070,26017,0.001195
626071,26017,0.0012905
626072,26017,0.0013246
626073,26017,0.0005942
626074,26017,0.0560333
626074,26047,0.0122729
626075,26047,0.0011093
626076,26047,0.001114
626077,26047,0.001114
626078,26047,0.001114
626079,26047,0.001114
626080,26047,0.0010721
626081,26004,0.0000387
626081,26047,0.0006953
626082,26047,0.0000602
626084,26004,0.0004106
626085,26004,0.0021336
626086,26004,0.0027854
626087,26004,0.0023693
626087,26046,0.0016504
626088,26004,0.0000139
626088,26046,0.0100192
626089,26046,0.0100695
626090,26046,0.0110461
626091,26046,0.0110461
626092,26046,0.0110461
626093,26046,0.0110461
626094,26046,0.0110461
626095,26046,0.0043323
626095,26065,0.0045807
626096,26065,0.0075365
626097,26065,0.0075365
626098,26065,0.0036518
626099,26065,0.0075365
626100,26065,0.0075365
626101,26065,0.0075365
626102,26058,0.0052164
626102,26065,0.0032081
626103,26058,0.0089282
626103,26065,0.0001281
626104,26058,0.0090825
626105,26058,0.0090825
626106,26036,0.002167
626106,26058,0.0041751
626107,26036,0.004844
626107,26058,0.0144712
626108,26036,0.0251388
626108,26058,0.0179251
626109,26036,0.0102316
626109,26058,0.0002551
626110,26036,0.0126279
626111,26036,0.0126279
626112,26036,0.0126032
626113,26036,0.0033737
626114,26036,0.0054238
626115,26036,0.0088539
626116,26036,0.0123822
626117,26035,0.000983
626117,26036,0.0080285
626118,26035,0.0033882
626118,26036,0.037038
626119,26035,0.0094734
626119,26036,0.001595
626120,26022,0.0045317
626120,26035,0.0083013
626121,26022,0.0000476
626121,26035,0.0044049
626122,26035,0.00806
626123,26035,0.0044118
626124,26035,0.0097472
626125,26035,0.0097472
626126,26035,0.0097472
626127,26035,0.0097472
626128,26006,0.0022803
626128,26035,0.0081335
626129,26006,0.0090414
626129,26035,0.0033487
626130,26006,0.0137733
626131,26006,0.00344
626132,26006,0.0045002
626133,26006,0.0033919
626134,26006,0.0045002
626135,26006,0.0044702
626135,26011,0.0000001
626135,26019,0.0001601
626136,26006,0.0008031
626136,26011,0.0048002
626136,26019,0.0007508
626137,26011,0.0313758
626137,26019,0.0003879
626138,26011,0.0325472
626139,26011,0.0075296
626140,26011,0.0075296
626141,26011,0.0075296
626142,26011,0.0097958
626143,26011,0.0096295
626144,26011,0.0097958
626145,26011,0.0097958
626146,26011,0.0097958
626147,26011,0.0097958
626148,26011,0.0074688
626148,26027,0.0001829
626149,26011,0.0000866
626149,26027,0.0225882
626150,26027,0.0226485
626151,26027,0.0047032
626152,26027,0.0059358
626153,26027,0.0059358
626154,26027,0.0034915
626155,26027,0.0024599
626156,26027,0.0038798
626157,26027,0.0047855
626158,26027,0.0059358
626159,26027,0.0059358
626160,26027,0.0059358
626161,26027,0.0059358
626162,26027,0.0058575
626162,26041,0.0001061
626163,26027,0.0059358
626164,26002,0.0010142
626164,26027,0.0049742
626165,26002,0.0062307
626165,26015,0.0000199
626165,26027,0.000012
626166,26002,0.003949
626166,26015,0.0026272
626167,26015,0.0071148
626168,26015,0.0053671
626169,26015,0.0053671
626170,26015,0.0053671
626171,26015,0.0071148
626172,26002,0.0025959
626172,26015,0.0041648
626173,26002,0.0044314
626173,26015,0.0020789
626174,26015,0.0071148
626175,26015,0.0071148
626176,26015,0.0071148
626177,8035,0.0002358
626177,26015,0.0045555
626178,8035,0.0015593
626179,8035,0.0047818
626180,8035,0.0015593
626181,8035,0.0023137
626182,8035,0.0023137
626183,8035,0.0023137
626184,8035,0.0023137
626185,8035,0.0023137
626186,8035,0.0023137
626187,8035,0.0023137
626188,8035,0.0023137
626189,8035,0.0019005
626190,8035,0.0019005
626191,8035,0.0019005
626192,8035,0.0023137
626193,8035,0.0023137
626194,8035,0.0023137
626195,8035,0.0015202
626196,8035,0.0013817
626197,8035,0.0008448
