GRIDCODE	CVENTMUN	Fter
624897	2001	0.002483574
624898	2001	0.000343426
624935	2001	0.002792135
625024	26004	0.106886644
625025	26004	0.027808879
625032	26046	0.003470777
625033	26046	0.077020129
625034	26046	0.005739058
625034	26046	0.051481708
625050	26036	0.01704275
625051	26036	0.018399552
625052	26036	0.017649604
625053	26036	0.016939262
625053	26036	0.004453158
625053	26036	0.000966682
625054	26036	0.044249904
625054	26036	0.072322645
625055	26036	0.002409529
625084	26011	0.002864847
625085	26011	0.070098247
625097	26027	0.034491464
625098	26027	0.004557671
625098	26027	0.004800217
625098	26027	0.005260743
625145	8035	0.013113341
625146	8035	0.014428775
625196	8001	0.011838557
625197	8001	0.001803924
625197	8001	0.000726132
625956	2001	0.002767017
625994	2001	0.002807622
626082	26004	0.096319402
626083	26004	0.028804899
626090	26046	0.063480334
626091	26046	0.073672112
626108	26036	0.006108752
626108	26058	0.014503273
626109	26036	0.000886868
626109	26058	0.000872506
626113	26036	0.041580121
626114	26036	0.018876954
626114	26036	0.011321341
626114	26036	0.029604443
626115	26036	0.054900338
626143	26011	0.077463669
626157	26027	0.048043673
626203	8035	0.00126358
626204	8035	0.019081076
626204	8035	0.007214216
626256	8001	0.013571159
626256	8001	0.000516306
626256	8001	0.000125571
627015	2001	0.003538119
627053	2001	0.002806713
627106	26017	0.009533069
627107	26017	0.010263369
627140	26047	0.018613801
627140	26004	0.020269529
627141	26004	0.032007207
627147	26046	0.057468195
627148	26046	0.076956776
627149	26046	0.013177774
627166	26036	0.017038851
627167	26036	0.001573044
627174	26036	0.038901945
627174	26035	0.022779625
627175	26035	0.013749331
627202	26011	0.076788465
627216	26027	0.048655843
627262	8035	0.02750506
627315	8001	0.014544274
628072	2001	0.000378392
628073	2001	0.003619255
628074	2001	0.000285654
628112	2001	0.002804469
628166	26017	0.01301494
628198	26047	0.014947793
628199	26047	0.017038368
628204	26046	0.006007374
628204	26004	0.035915462
628205	26046	0.080094929
628206	26046	0.015614452
628225	26036	0.018339477
628234	26035	0.045196877
628261	26011	0.070609057
628275	26027	0.048318529
628320	8035	0.016763924
628321	8035	0.010789707
628374	8001	0.012423798
628374	8001	0.00320358
629131	2001	0.00318948
629170	2001	0.002717925
629171	2001	0.000386476
629225	26017	0.012454808
629248	26017	0.001567686
629253	26047	0.016003054
629254	26047	0.03046172
629255	26047	0.001160447
629255	26047	0.027097797
629256	26047	0.005818361
629256	26047	0.023005655
629257	26047	0.008010634
629257	26047	0.017622778
629257	26047	0.013513924
629258	26047	0.022982557
629258	26004	0.008898014
629259	26004	0.09213484
629260	26004	0.09224659
629261	26004	0.092354796
629262	26004	0.021898014
629262	26004	0.092117113
629262	26004	0.01384944
629263	26004	0.062002688
629283	26036	0.007441747
629284	26036	0.009981059
629291	26035	0.006365635
629292	26035	0.02305245
629293	26035	0.042434511
