GRIDCODE	CVENTMUN	Furb	Frur	Fpob	Purb_T	Prur_T	P_tot
624897	2001		0.000684214	0.000100682		47	47
624935	2001		0.00013102	0.0000193		9	9
625008	26017		0.000679425	0.000147591		12	12
625009	26017		0.000226475	0.0000492		4	4
625011	26017		0.000113237	0.0000246		2	2
625012	26017		0.010361227	0.002250756		183	183
625014	26017		0.000339712	0.0000738		6	6
625015	26017		0.000283094	0.0000615		5	5
625024	26004		0.004456328	0.000552547		5	5
625024	26047		0.001567398	0.000211238		2	2
625025	26004		0.002673797	0.000331528		3	3
625026	26004		0.011586453	0.001436623		13	13
625039	26065		0.241528479	0.193083573		335	335
625047	26058		0.005542169	0.001436243		23	23
625048	26058		0.000963855	0.000249781		4	4
625052	26036	0.005825973		0.005217625	155		155
625053	26036	0.155797782		0.139529404	4145		4145
625054	26036	0.148618681	0.007092199	0.133840509	3954	22	3976
625056	26036		0.000322373	0.0000337		1	1
625058	26036		0.000967118	0.000100986		3	3
625062	26035		0.001643836	0.000730757		9	9
625063	26035		0.000547945	0.000243586		3	3
625070	26006		0.00075815	0.000329272		1	1
625073	26006		0.0015163	0.000658545		2	2
625075	26006		0.0015163	0.000658545		2	2
625085	26011		0.008992806	0.003037667		5	5
625087	26011		0.003597122	0.001215067		2	2
625097	26027	0.26519847	0.020833333	0.235328163	2011	22	2033
625098	26027	0.444415139	0.005681818	0.390785971	3370	6	3376
625112	26015		0.002656042	0.001375516		2	2
625114	26015		0.003984064	0.002063274		3	3
625122	8035		0.0008521	0.000639094		7	7
625136	8035		0.03347535	0.025107277		275	275
625150	8050		0.03461945	0.002207729		131	131
625151	8050		0.013213531	0.000842645		50	50
625153	8050		0.000528541	0.0000337		2	2
625163	8005		0.000353794	0.0000834		2	2
625164	8005		0.000530692	0.00012513		3	3
625171	8005		0.000530692	0.00012513		3	3
625197	8001		0.001040944	0.000261849		3	3
625198	8001		0.001387925	0.000349132		4	4
625210	8001		0.004857738	0.00122196		14	14
625211	8028		0.00145518	0.000774234		5	5
625218	8028		0.000873108	0.00046454		3	3
625220	8028		0.001746217	0.00092908		6	6
625956	2001		0.000262039	0.0000386		18	18
626066	26017		0.020892311	0.00453841		369	369
626067	26017		0.00045295	0.0000984		8	8
626068	26017		0.000509569	0.000110693		9	9
626082	26004		0.434046346	0.053818101		487	487
626083	26004		0.003565062	0.000442038		4	4
626084	26004		0.001782531	0.000221019		2	2
626092	26046		0.28125	0.020316027		9	9
626098	26065		0.392934391	0.314121037		545	545
626099	26065		0.002162942	0.001729107		3	3
626106	26036		0.000967118	0.000100986		3	3
626106	26058		0.038554217	0.009991258		160	160
626107	26036		0.001611863	0.00016831		5	5
626111	26036		0.000967118	0.000100986		3	3
626113	26036		0.249516441	0.026054465		774	774
626114	26036		0.009026435	0.000942539		28	28
626115	26036		0.001934236	0.000201973		6	6
626121	26035		0.000182648	0.0000812		1	1
626130	26006		0.00075815	0.000329272		1	1
626137	26011		0.005395683	0.0018226		3	3
626146	26011		0.005395683	0.0018226		3	3
626156	26027	0.096795464		0.084963537	734		734
626157	26027	0.083344323	0.015151515	0.075008682	632	16	648
626185	8035		0.000486914	0.000365197		4	4
626190	8035		0.000121729	0.0000913		1	1
626192	8035		0.00754717	0.00566055		62	62
626195	8035		0.02507608	0.018807633		206	206
626197	8035		0.000608643	0.000456496		5	5
626198	8035		0.000365186	0.000273898		3	3
