GRIDCODE,LONG,LATITUDE,Huso,Pob,UTMX,UTMY,UTMz
348,87,,,,,,
624862,-116.90735,30.21514,7,0,1065321.77420,2090649.06160,11
624863,-116.87640,30.21794,7,0,1068321.77420,2090649.06160,11
624864,-116.84545,30.22074,7,0,1071321.77420,2090649.06160,11
624865,-116.81450,30.22353,7,0,1074321.77420,2090649.06160,11
624866,-116.78355,30.22631,7,0,1077321.77420,2090649.06160,11
624867,-116.75259,30.22909,7,0,1080321.77420,2090649.06160,11
624868,-116.72164,30.23186,7,0,1083321.77420,2090649.06160,11
624869,-116.69068,30.23463,7,0,1086321.77420,2090649.06160,11
624870,-116.65972,30.23739,7,0,1089321.77420,2090649.06160,11
624871,-116.62876,30.24014,7,0,1092321.77420,2090649.06160,11
624872,-116.59780,30.24289,7,0,1095321.77420,2090649.06160,11
624873,-116.56684,30.24563,7,0,1098321.77420,2090649.06160,11
624874,-116.53587,30.24837,7,0,1101321.77420,2090649.06160,11
624875,-116.50491,30.25110,7,0,1104321.77420,2090649.06160,11
624876,-116.47394,30.25383,7,0,1107321.77420,2090649.06160,11
624877,-116.44297,30.25654,7,0,1110321.77420,2090649.06160,11
624878,-116.41200,30.25926,7,0,1113321.77420,2090649.06160,11
624879,-116.38103,30.26197,7,0,1116321.77420,2090649.06160,11
624880,-116.35006,30.26467,7,0,1119321.77420,2090649.06160,11
624881,-116.31909,30.26736,7,0,1122321.77420,2090649.06160,11
624882,-116.28811,30.27005,7,0,1125321.77420,2090649.06160,11
624883,-116.25714,30.27274,7,0,1128321.77420,2090649.06160,11
624884,-116.22616,30.27542,7,0,1131321.77420,2090649.06160,11
624885,-116.19518,30.27809,7,0,1134321.77420,2090649.06160,11
624886,-116.16420,30.28076,7,0,1137321.77420,2090649.06160,11
624887,-116.13322,30.28342,7,0,1140321.77420,2090649.06160,11
624888,-116.10224,30.28607,7,0,1143321.77420,2090649.06160,11
624889,-116.07125,30.28872,7,0,1146321.77420,2090649.06160,11
624890,-116.04027,30.29137,7,0,1149321.77420,2090649.06160,11
624891,-116.00928,30.29401,7,0,1152321.77420,2090649.06160,11
624892,-115.97829,30.29664,7,0,1155321.77420,2090649.06160,11
624893,-115.94730,30.29926,7,0,1158321.77420,2090649.06160,11
624894,-115.91631,30.30189,7,0,1161321.77420,2090649.06160,11
624895,-115.88532,30.30450,7,0,1164321.77420,2090649.06160,11
624896,-115.85433,30.30711,7,0,1167321.77420,2090649.06160,11
624897,-115.82333,30.30971,8,47,1170321.77420,2090649.06160,11
624898,-115.79234,30.31231,8,0,1173321.77420,2090649.06160,11
624899,-115.76134,30.31490,8,0,1176321.77420,2090649.06160,11
624900,-115.73034,30.31749,8,0,1179321.77420,2090649.06160,11
624901,-115.69934,30.32007,8,0,1182321.77420,2090649.06160,11
624902,-115.66834,30.32264,8,0,1185321.77420,2090649.06160,11
624903,-115.63734,30.32521,8,0,1188321.77420,2090649.06160,11
624904,-115.60633,30.32777,8,0,1191321.77420,2090649.06160,11
624905,-115.57533,30.33033,8,0,1194321.77420,2090649.06160,11
624906,-115.54432,30.33288,8,0,1197321.77420,2090649.06160,11
624907,-115.51332,30.33542,8,0,1200321.77420,2090649.06160,11
624908,-115.48231,30.33796,8,0,1203321.77420,2090649.06160,11
624909,-115.45130,30.34049,8,0,1206321.77420,2090649.06160,11
624910,-115.42029,30.34302,8,0,1209321.77420,2090649.06160,11
624911,-115.38927,30.34554,8,0,1212321.77420,2090649.06160,11
624912,-115.35826,30.34806,8,0,1215321.77420,2090649.06160,11
624913,-115.32725,30.35057,8,0,1218321.77420,2090649.06160,11
624914,-115.29623,30.35307,8,0,1221321.77420,2090649.06160,11
624915,-115.26521,30.35557,8,0,1224321.77420,2090649.06160,11
624916,-115.23419,30.35806,8,0,1227321.77420,2090649.06160,11
624917,-115.20317,30.36055,8,0,1230321.77420,2090649.06160,11
624918,-115.17215,30.36303,8,0,1233321.77420,2090649.06160,11
624919,-115.14113,30.36550,8,0,1236321.77420,2090649.06160,11
624920,-115.11011,30.36797,8,0,1239321.77420,2090649.06160,11
624921,-115.07908,30.37044,8,0,1242321.77420,2090649.06160,11
624922,-115.04805,30.37289,8,0,1245321.77420,2090649.06160,11
624923,-115.01703,30.37534,8,0,1248321.77420,2090649.06160,11
624924,-114.98600,30.37779,8,0,1251321.77420,2090649.06160,11
624925,-114.95497,30.38023,8,0,1254321.77420,2090649.06160,11
624926,-114.92394,30.38266,8,0,1257321.77420,2090649.06160,11
624927,-114.89291,30.38509,8,0,1260321.77420,2090649.06160,11
624928,-114.86187,30.38751,8,0,1263321.77420,2090649.06160,11
624929,-114.83084,30.38993,8,0,1266321.77420,2090649.06160,11
624930,-114.79980,30.39234,8,0,1269321.77420,2090649.06160,11
624931,-114.76877,30.39475,8,0,1272321.77420,2090649.06160,11
624932,-114.73773,30.39714,8,0,1275321.77420,2090649.06160,11
624933,-114.70669,30.39954,8,0,1278321.77420,2090649.06160,11
624934,-114.67565,30.40192,8,0,1281321.77420,2090649.06160,11
624935,-114.64461,30.40431,8,9,1284321.77420,2090649.06160,11
624936,-114.61356,30.40668,8,0,1287321.77420,2090649.06160,11
624937,-114.58252,30.40905,8,0,1290321.77420,2090649.06160,11
624938,-114.55147,30.41141,8,0,1293321.77420,2090649.06160,11
624939,-114.52043,30.41377,8,0,1296321.77420,2090649.06160,11
624940,-114.48938,30.41613,8,0,1299321.77420,2090649.06160,11
624941,-114.45833,30.41847,8,0,1302321.77420,2090649.06160,11
624942,-114.42728,30.42081,8,0,1305321.77420,2090649.06160,11
624943,-114.39623,30.42315,8,0,1308321.77420,2090649.06160,11
624944,-114.36518,30.42548,8,0,1311321.77420,2090649.06160,11
624945,-114.33412,30.42780,8,0,1314321.77420,2090649.06160,11
624946,-114.30307,30.43012,8,0,1317321.77420,2090649.06160,11
624947,-114.27201,30.43243,8,0,1320321.77420,2090649.06160,11
624948,-114.24095,30.43473,8,0,1323321.77420,2090649.06160,11
624949,-114.20990,30.43703,8,0,1326321.77420,2090649.06160,11
624950,-114.17884,30.43933,8,0,1329321.77420,2090649.06160,11
624951,-114.14778,30.44161,8,0,1332321.77420,2090649.06160,11
624952,-114.11672,30.44390,8,0,1335321.77420,2090649.06160,11
624953,-114.08565,30.44617,8,0,1338321.77420,2090649.06160,11
624954,-114.05459,30.44844,8,0,1341321.77420,2090649.06160,11
624955,-114.02352,30.45071,8,0,1344321.77420,2090649.06160,11
624956,-113.99246,30.45297,8,0,1347321.77420,2090649.06160,12
624957,-113.96139,30.45522,8,0,1350321.77420,2090649.06160,12
624958,-113.93032,30.45747,8,0,1353321.77420,2090649.06160,12
624959,-113.89925,30.45971,8,0,1356321.77420,2090649.06160,12
624960,-113.86818,30.46194,8,0,1359321.77420,2090649.06160,12
624961,-113.83711,30.46417,8,0,1362321.77420,2090649.06160,12
624962,-113.80604,30.46640,8,0,1365321.77420,2090649.06160,12
624963,-113.77496,30.46861,8,0,1368321.77420,2090649.06160,12
624964,-113.74389,30.47083,8,0,1371321.77420,2090649.06160,12
624965,-113.71281,30.47303,8,0,1374321.77420,2090649.06160,12
624966,-113.68173,30.47523,8,0,1377321.77420,2090649.06160,12
624967,-113.65066,30.47743,8,0,1380321.77420,2090649.06160,12
624968,-113.61958,30.47962,8,0,1383321.77420,2090649.06160,12
624969,-113.58850,30.48180,8,0,1386321.77420,2090649.06160,12
624970,-113.55741,30.48398,8,0,1389321.77420,2090649.06160,12
624971,-113.52633,30.48615,8,0,1392321.77420,2090649.06160,12
624972,-113.49525,30.48831,8,0,1395321.77420,2090649.06160,12
624973,-113.46416,30.49047,8,0,1398321.77420,2090649.06160,12
624974,-113.43308,30.49262,8,0,1401321.77420,2090649.06160,12
624975,-113.40199,30.49477,8,0,1404321.77420,2090649.06160,12
624976,-113.37090,30.49691,8,0,1407321.77420,2090649.06160,12
624977,-113.33981,30.49905,8,0,1410321.77420,2090649.06160,12
624978,-113.30872,30.50118,8,0,1413321.77420,2090649.06160,12
624979,-113.27763,30.50330,8,0,1416321.77420,2090649.06160,12
624980,-113.24654,30.50542,8,0,1419321.77420,2090649.06160,12
624981,-113.21545,30.50754,8,0,1422321.77420,2090649.06160,12
624982,-113.18435,30.50964,8,0,1425321.77420,2090649.06160,12
624983,-113.15326,30.51174,8,0,1428321.77420,2090649.06160,12
624984,-113.12216,30.51384,8,0,1431321.77420,2090649.06160,12
624985,-113.09106,30.51593,8,0,1434321.77420,2090649.06160,12
624986,-113.05996,30.51801,8,0,1437321.77420,2090649.06160,12
624987,-113.02886,30.52009,8,0,1440321.77420,2090649.06160,12
624988,-112.99776,30.52216,7,0,1443321.77420,2090649.06160,12
624989,-112.96666,30.52423,7,0,1446321.77420,2090649.06160,12
624990,-112.93556,30.52629,7,0,1449321.77420,2090649.06160,12
624991,-112.90445,30.52834,7,0,1452321.77420,2090649.06160,12
624992,-112.87335,30.53039,7,0,1455321.77420,2090649.06160,12
624993,-112.84224,30.53243,7,0,1458321.77420,2090649.06160,12
624994,-112.81113,30.53447,7,0,1461321.77420,2090649.06160,12
624995,-112.78003,30.53650,7,0,1464321.77420,2090649.06160,12
624996,-112.74892,30.53852,7,0,1467321.77420,2090649.06160,12
624997,-112.71781,30.54054,7,0,1470321.77420,2090649.06160,12
624998,-112.68670,30.54256,7,0,1473321.77420,2090649.06160,12
624999,-112.65558,30.54456,7,0,1476321.77420,2090649.06160,12
625000,-112.62447,30.54657,7,0,1479321.77420,2090649.06160,12
625001,-112.59336,30.54856,7,0,1482321.77420,2090649.06160,12
625002,-112.56224,30.55055,7,0,1485321.77420,2090649.06160,12
625003,-112.53113,30.55253,7,0,1488321.77420,2090649.06160,12
625004,-112.50001,30.55451,7,0,1491321.77420,2090649.06160,12
625005,-112.46889,30.55648,7,0,1494321.77420,2090649.06160,12
625006,-112.43777,30.55845,7,0,1497321.77420,2090649.06160,12
625007,-112.40665,30.56041,7,0,1500321.77420,2090649.06160,12
